"table_name","column_name","data_type","is_nullable","column_default","character_maximum_length"
"app_users","id","bigint","NO","nextval('app_users_id_seq'::regclass)",
"app_users","email","text","NO",,
"app_users","password_hash","text","NO",,
"app_users","is_active","boolean","NO","true",
"app_users","created_at","timestamp with time zone","NO","now()",
"app_users","updated_at","timestamp with time zone","NO","now()",
"audit_log","id","bigint","NO","nextval('audit_log_id_seq'::regclass)",
"audit_log","user_id","bigint","YES",,
"audit_log","action_key","text","NO",,
"audit_log","entity_type","text","NO",,
"audit_log","entity_id","text","YES",,
"audit_log","old_data","jsonb","YES",,
"audit_log","new_data","jsonb","YES",,
"audit_log","created_at","timestamp with time zone","NO","now()",
"cpq_availability","cpq_sku_rule_id","bigint","NO",,
"cpq_availability","cpq_country_id","bigint","NO",,
"cpq_availability","available","boolean","NO","false",
"cpq_availability","updated_at","timestamp with time zone","NO","now()",
"cpq_countries","id","bigint","NO","nextval('cpq_countries_id_seq'::regclass)",
"cpq_countries","country","text","NO",,
"cpq_countries","region","text","NO",,
"cpq_countries","brake_type","text","NO",,
"cpq_countries","created_at","timestamp with time zone","NO","now()",
"cpq_countries","updated_at","timestamp with time zone","NO","now()",
"cpq_countries","locale_code","text","NO","'en-US'::text",
"cpq_import_row_translations","id","bigint","NO","nextval('cpq_import_row_translations_id_seq'::regclass)",
"cpq_import_row_translations","cpq_import_row_id","bigint","NO",,
"cpq_import_row_translations","locale","text","NO",,
"cpq_import_row_translations","translated_value","text","NO",,
"cpq_import_row_translations","created_at","timestamp with time zone","NO","now()",
"cpq_import_row_translations","updated_at","timestamp with time zone","NO","now()",
"cpq_import_row_translations","created_by","bigint","YES",,
"cpq_import_row_translations","updated_by","bigint","YES",,
"cpq_import_rows","id","bigint","NO","nextval('cpq_import_rows_id_seq'::regclass)",
"cpq_import_rows","import_run_id","bigint","YES",,
"cpq_import_rows","row_number","integer","NO",,
"cpq_import_rows","option_name","text","YES",,
"cpq_import_rows","choice_value","text","YES",,
"cpq_import_rows","digit_position","integer","YES",,
"cpq_import_rows","code_value","text","YES",,
"cpq_import_rows","status","text","NO",,
"cpq_import_rows","reason","text","YES",,
"cpq_import_rows","created_at","timestamp with time zone","NO","now()",
"cpq_import_rows","normalized_option_name","text","YES",,
"cpq_import_rows","action_attempted","text","YES",,
"cpq_import_rows","is_active","boolean","NO","true",
"cpq_import_rows","deactivated_at","timestamp with time zone","YES",,
"cpq_import_rows","deactivation_reason","text","YES",,
"cpq_import_rows","updated_at","timestamp with time zone","NO","now()",
"cpq_import_rows","updated_by","bigint","YES",,
"cpq_import_rows","source","text","YES",,
"cpq_import_runs","id","bigint","NO","nextval('cpq_import_runs_id_seq'::regclass)",
"cpq_import_runs","file_name","text","NO",,
"cpq_import_runs","selected_line","text","NO",,
"cpq_import_runs","electric_type","text","NO",,
"cpq_import_runs","is_special","boolean","NO",,
"cpq_import_runs","special_edition_name","text","YES",,
"cpq_import_runs","character_17","text","NO",,
"cpq_import_runs","uploaded_by","bigint","NO",,
"cpq_import_runs","uploaded_at","timestamp with time zone","NO","now()",
"cpq_import_runs","rows_read","integer","NO","0",
"cpq_import_runs","rows_imported","integer","NO","0",
"cpq_import_runs","rows_skipped","integer","NO","0",
"cpq_import_runs","rows_deactivated","integer","NO","0",
"cpq_import_runs","rows_inserted","integer","NO","0",
"cpq_import_runs","status","text","NO","'created'::text",
"cpq_import_runs","current_phase","text","YES",,
"cpq_import_runs","error_message","text","YES",,
"cpq_import_runs","error_stack","text","YES",,
"cpq_import_runs","failed_at","timestamp with time zone","YES",,
"cpq_import_runs","started_at","timestamp with time zone","NO","now()",
"cpq_import_runs","completed_at","timestamp with time zone","YES",,
"cpq_import_runs","is_dry_run","boolean","NO","false",
"cpq_product_assets","id","bigint","NO","nextval('cpq_product_assets_id_seq'::regclass)",
"cpq_product_assets","cpq_sku_rule_id","bigint","NO",,
"cpq_product_assets","asset_url","text","NO",,
"cpq_product_assets","png_url","text","YES",,
"cpq_product_assets","asset_id","text","YES",,
"cpq_product_assets","notes","text","YES",,
"cpq_product_assets","selected_by","bigint","NO",,
"cpq_product_assets","selected_at","timestamp with time zone","NO","now()",
"cpq_product_assets","updated_by","bigint","YES",,
"cpq_product_assets","updated_at","timestamp with time zone","NO","now()",
"cpq_product_attributes","id","bigint","NO","nextval('cpq_product_attributes_id_seq'::regclass)",
"cpq_product_attributes","cpq_product_id","bigint","NO",,
"cpq_product_attributes","option_name","text","NO",,
"cpq_product_attributes","cpq_import_row_id","bigint","NO",,
"cpq_product_attributes","created_at","timestamp with time zone","NO","now()",
"cpq_product_attributes","updated_at","timestamp with time zone","NO","now()",
"cpq_products","id","bigint","NO","nextval('cpq_products_id_seq'::regclass)",
"cpq_products","import_run_id","bigint","YES",,
"cpq_products","cpq_ruleset","text","YES",,
"cpq_products","product_assist","text","YES",,
"cpq_products","product_family","text","YES",,
"cpq_products","product_line","text","YES",,
"cpq_products","product_model","text","YES",,
"cpq_products","product_type","text","YES",,
"cpq_products","brake_reverse","text","YES",,
"cpq_products","brake_non_reverse","text","YES",,
"cpq_products","sku_code","text","NO",,
"cpq_products","description","text","YES",,
"cpq_products","handlebar_type","text","YES",,
"cpq_products","speeds","text","YES",,
"cpq_products","mudguardsandrack","text","YES",,
"cpq_products","territory","text","YES",,
"cpq_products","mainframecolour","text","YES",,
"cpq_products","rearframecolour","text","YES",,
"cpq_products","frontcarrierblock","text","YES",,
"cpq_products","lighting","text","YES",,
"cpq_products","saddleheight","text","YES",,
"cpq_products","gearratio","text","YES",,
"cpq_products","saddle","text","YES",,
"cpq_products","tyre","text","YES",,
"cpq_products","brakes","text","YES",,
"cpq_products","pedals","text","YES",,
"cpq_products","saddlebag","text","YES",,
"cpq_products","suspension","text","YES",,
"cpq_products","biketype","text","YES",,
"cpq_products","toolkit","text","YES",,
"cpq_products","saddlelight","text","YES",,
"cpq_products","configcode","text","YES",,
"cpq_products","optionbox","text","YES",,
"cpq_products","framematerial","text","YES",,
"cpq_products","frameset","text","YES",,
"cpq_products","componentcolour","text","YES",,
"cpq_products","onbikeaccessories","text","YES",,
"cpq_products","handlebarstemcolour","text","YES",,
"cpq_products","handlebarpincolour","text","YES",,
"cpq_products","frontframecolour","text","YES",,
"cpq_products","frontforkcolour","text","YES",,
"cpq_products","position29","text","YES",,
"cpq_products","position30","text","YES",,
"cpq_products","created_by","bigint","YES",,
"cpq_products","created_at","timestamp with time zone","NO","now()",
"cpq_sku_rules","id","bigint","NO","nextval('cpq_sku_rules_id_seq'::regclass)",
"cpq_sku_rules","cpq_product_id","bigint","YES",,
"cpq_sku_rules","sku_code","text","NO",,
"cpq_sku_rules","cpq_ruleset","text","NO",,
"cpq_sku_rules","brake_type","text","NO",,
"cpq_sku_rules","bike_type","text","YES",,
"cpq_sku_rules","handlebar","text","YES",,
"cpq_sku_rules","speed","text","YES",,
"cpq_sku_rules","rack","text","YES",,
"cpq_sku_rules","colour","text","YES",,
"cpq_sku_rules","light","text","YES",,
"cpq_sku_rules","seatpost_length","text","YES",,
"cpq_sku_rules","saddle","text","YES",,
"cpq_sku_rules","description","text","YES",,
"cpq_sku_rules","bc_status","text","NO","''::text",
"cpq_sku_rules","is_active","boolean","NO","true",
"cpq_sku_rules","deactivated_at","timestamp with time zone","YES",,
"cpq_sku_rules","deactivation_reason","text","YES",,
"cpq_sku_rules","created_by","bigint","YES",,
"cpq_sku_rules","created_at","timestamp with time zone","NO","now()",
"cpq_sku_rules","updated_at","timestamp with time zone","NO","now()",
"feature_flag_audit","id","bigint","NO","nextval('feature_flag_audit_id_seq'::regclass)",
"feature_flag_audit","feature_flag_id","bigint","NO",,
"feature_flag_audit","flag_key","text","NO",,
"feature_flag_audit","old_enabled","boolean","YES",,
"feature_flag_audit","new_enabled","boolean","NO",,
"feature_flag_audit","updated_at","timestamp with time zone","NO","now()",
"feature_flag_audit","updated_by","bigint","YES",,
"feature_flags","id","bigint","NO","nextval('feature_flags_id_seq'::regclass)",
"feature_flags","flag_key","text","NO",,
"feature_flags","flag_name","text","NO",,
"feature_flags","description","text","NO",,
"feature_flags","enabled","boolean","NO","false",
"feature_flags","updated_at","timestamp with time zone","NO","now()",
"feature_flags","updated_by","bigint","YES",,
"permissions","id","bigint","NO","nextval('permissions_id_seq'::regclass)",
"permissions","permission_key","text","NO",,
"permissions","permission_name","text","NO",,
"permissions","description","text","YES",,
"permissions","created_at","timestamp with time zone","NO","now()",
"role_permissions","role_key","text","NO",,
"role_permissions","permission_id","bigint","NO",,
"role_permission_baselines_audit","id","bigint","NO","nextval('role_permission_baselines_audit_id_seq'::regclass)",
"role_permission_baselines_audit","role_key","text","NO",,
"role_permission_baselines_audit","permission_key","text","NO",,
"role_permission_baselines_audit","granted","boolean","NO",,
"role_permission_baselines_audit","changed_by","bigint","YES",,
"role_permission_baselines_audit","changed_at","timestamp with time zone","NO","now()",
"roles","id","bigint","NO","nextval('roles_id_seq'::regclass)",
"roles","role_key","text","NO",,
"roles","role_name","text","NO",,
"sku_digit_option_config","id","bigint","NO","nextval('sku_digit_option_config_id_seq'::regclass)",
"sku_digit_option_config","digit_position","integer","NO",,
"sku_digit_option_config","option_name","text","NO",,
"sku_digit_option_config","is_required","boolean","NO","false",
"sku_digit_option_config","selection_mode","text","NO","'single'::text",
"sku_digit_option_config","is_active","boolean","NO","true",
"sku_digit_option_config","created_at","timestamp with time zone","NO","now()",
"sku_digit_option_config","updated_at","timestamp with time zone","NO","now()",
"sku_generation_dependency_rules","id","bigint","NO","nextval('sku_generation_dependency_rules_id_seq'::regclass)",
"sku_generation_dependency_rules","source_digit_position","integer","NO",,
"sku_generation_dependency_rules","target_digit_position","integer","NO",,
"sku_generation_dependency_rules","rule_type","text","NO",,
"sku_generation_dependency_rules","active","boolean","NO","true",
"sku_generation_dependency_rules","sort_order","integer","NO","0",
"sku_generation_dependency_rules","notes","text","YES",,
"sku_generation_dependency_rules","created_at","timestamp with time zone","NO","now()",
"sku_generation_dependency_rules","updated_at","timestamp with time zone","NO","now()",
"sku_rules","id","bigint","NO","nextval('sku_rules_id_seq'::regclass)",
"sku_rules","digit_position","integer","NO",,
"sku_rules","option_name","text","NO",,
"sku_rules","code_value","text","NO",,
"sku_rules","choice_value","text","NO",,
"sku_rules","description_element","text","YES",,
"sku_rules","is_active","boolean","NO","true",
"sku_rules","deactivated_at","timestamp with time zone","YES",,
"sku_rules","deactivation_reason","text","YES",,
"user_permissions","user_id","bigint","NO",,
"user_permissions","permission_id","bigint","NO",,
"user_permissions","granted","boolean","NO",,
"user_permissions","created_at","timestamp with time zone","NO","now()",
"user_permissions","updated_at","timestamp with time zone","NO","now()",
"user_roles","user_id","bigint","NO",,
"user_roles","role_id","bigint","NO",,
